City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buncrana,55.1333,-7.45,277.03,72,100,3.16,IE,1707263542
1,port-aux-francais,-49.35,70.2167,279.53,92,100,10.05,TF,1707263543
2,zouerate,22.7187,-12.4521,291.35,10,12,4.34,MR,1707263543
3,ribeira grande,38.5167,-28.7,290.8,94,90,6.71,PT,1707263543
4,bodo,67.28,14.405,267.17,86,100,8.23,NO,1707263543
5,saldanha,-33.0117,17.9442,291.18,94,12,3.45,ZA,1707263543
6,chui,-33.6971,-53.4616,294.22,75,1,5.93,UY,1707263544
7,haiku-pauwela,20.9219,-156.3051,298.24,60,40,11.83,US,1707263544
8,hamilton,39.1834,-84.5333,280.62,63,20,2.06,US,1707263359
9,saint-felix-de-valois,46.1668,-73.4324,269.33,82,60,1.56,CA,1707263544
10,adamstown,-25.066,-130.1015,297.88,84,56,4.94,PN,1707263545
11,tumpat,6.1978,102.171,298.16,94,20,1.54,MY,1707263545
12,greymouth,-42.4667,171.2,292.74,67,53,2.8,NZ,1707263464
13,yellowknife,62.456,-114.3525,256.16,75,100,6.17,CA,1707263249
14,carnarvon,-24.8667,113.6333,303.55,39,4,6.57,AU,1707263545
15,utrik,11.2278,169.8474,299.75,80,98,7.14,MH,1707263545
16,talnakh,69.4865,88.3972,252.56,85,100,3.17,RU,1707263546
17,monroe,43.1501,-77.6831,272.92,79,0,3.09,US,1707263415
18,nagqu,31.5,92.0,261.5,19,2,3.4,CN,1707263546
19,grytviken,-54.2811,-36.5092,281.99,62,8,2.07,GS,1707263546
20,vila franca do campo,37.7167,-25.4333,291.42,99,100,7.02,PT,1707263546
21,sovetskiy,61.3614,63.5842,267.14,97,100,2.26,RU,1707263546
22,hawaiian paradise park,19.5933,-154.9731,298.08,73,100,8.23,US,1707263547
23,veraval,20.9,70.3667,294.11,67,15,5.17,IN,1707263547
24,smithers,54.7804,-127.1743,271.33,74,100,1.03,CA,1707263547
25,margate,51.3813,1.3862,284.75,89,100,5.68,GB,1707263547
26,waitangi,-43.9535,-176.5597,292.49,95,98,10.46,NZ,1707263547
27,al muwayh,22.4333,41.7583,286.72,26,14,6.87,SA,1707263547
28,constantia,44.1833,28.65,283.54,61,45,4.58,RO,1707263388
29,bandon,51.7469,-8.7425,277.92,89,100,2.26,IE,1707263292
30,atafu village,-8.5421,-172.5159,301.83,80,99,11.59,TK,1707263548
31,forster,-32.1667,152.5167,294.47,94,100,5.16,AU,1707263548
32,holualoa,19.6228,-155.9522,297.06,77,75,3.09,US,1707263548
33,margaret river,-33.95,115.0667,294.23,48,0,4.85,AU,1707263548
34,east london,-33.0153,27.9116,296.21,89,96,2.94,ZA,1707263548
35,ca mau,9.1769,105.15,297.78,89,64,1.7,VN,1707263549
36,bredasdorp,-34.5322,20.0403,293.46,63,5,6.18,ZA,1707263549
37,georgetown,5.4112,100.3354,300.11,89,20,3.09,MY,1707263544
38,bethel,41.3712,-73.414,274.78,62,0,0.0,US,1707263549
39,punta arenas,-53.15,-70.9167,286.21,62,0,4.63,CL,1707263549
40,san rafael,-34.6177,-68.3301,307.54,26,3,4.64,AR,1707263549
41,fale old settlement,-9.3852,-171.2468,301.91,80,99,11.83,TK,1707263549
42,susuman,62.7833,148.1667,239.81,99,99,1.34,RU,1707263550
43,remire-montjoly,4.9167,-52.2667,298.17,100,75,0.0,GF,1707263550
44,luderitz,-26.6481,15.1594,292.09,82,68,5.6,NA,1707263550
45,urengoy,65.9667,78.3667,254.16,100,99,1.97,RU,1707263550
46,port mathurin,-19.6833,63.4167,300.15,69,55,7.47,MU,1707263550
47,iqaluit,63.7506,-68.5145,253.0,59,0,5.66,CA,1707263550
48,al artawiyah,26.5053,45.3444,283.61,38,0,1.31,SA,1707263551
49,rach gia,10.0167,105.0833,297.79,87,53,3.37,VN,1707263551
50,saynshand,44.8824,110.1163,250.04,99,56,1.41,MN,1707263551
51,severo-yeniseyskiy,60.3725,93.0408,267.36,89,100,4.47,RU,1707263551
52,hadibu,12.65,54.0333,297.42,73,18,3.67,YE,1707263551
53,puerto ayora,-0.7393,-90.3518,298.98,83,70,4.07,EC,1707263551
54,sinhyeon,34.8825,128.6267,274.09,71,49,4.53,KR,1707263551
55,wailua homesteads,22.0669,-159.378,300.39,70,20,7.72,US,1707263551
56,port elizabeth,-33.918,25.5701,293.88,92,40,8.75,ZA,1707263552
57,new norfolk,-42.7826,147.0587,291.44,42,96,2.81,AU,1707263552
58,badger,64.8,-147.5333,263.22,76,20,2.06,US,1707263552
59,alice springs,-23.7,133.8833,298.83,61,93,6.69,AU,1707263432
60,avarua,-21.2078,-159.775,303.18,79,75,5.66,CK,1707263552
61,tocopilla,-22.092,-70.1979,297.21,75,3,1.13,CL,1707263552
62,puerto natales,-51.7236,-72.4875,285.55,73,97,0.63,CL,1707263358
63,tual,-5.6667,132.75,301.43,76,96,8.17,ID,1707263553
64,betio village,1.358,172.9211,304.17,78,96,6.01,KI,1707263553
65,isafjordur,66.0755,-23.124,269.85,89,100,7.52,IS,1707263553
66,zhangye,38.9342,100.4517,265.58,83,97,0.23,CN,1707263553
67,tura,25.5198,90.2201,285.69,97,0,1.28,IN,1707263553
68,hermanus,-34.4187,19.2345,293.04,83,24,7.25,ZA,1707263553
69,bengkulu,-3.8004,102.2655,297.5,86,95,1.48,ID,1707263554
70,hasaki,35.7333,140.8333,277.2,51,89,6.89,JP,1707263554
71,longyearbyen,78.2186,15.6401,265.06,62,40,6.69,SJ,1707263554
72,blackmans bay,-43.0167,147.3167,290.78,49,98,2.24,AU,1707263554
73,saint-pierre,-21.3393,55.4781,296.97,60,0,3.09,RE,1707263554
74,gharyan,32.1722,13.0203,284.34,41,50,2.18,LY,1707263554
75,papatowai,-46.5619,169.4708,289.79,51,46,5.17,NZ,1707263554
76,san luis de la loma,17.2706,-100.8939,300.04,68,12,2.64,MX,1707263555
77,edinburgh of the seven seas,-37.0676,-12.3116,290.27,64,68,1.72,SH,1707263555
78,awjilah,29.1081,21.2869,286.05,61,0,1.9,LY,1707263555
79,grahamstown,-33.3042,26.5328,290.9,90,96,7.98,ZA,1707263481
80,kittila,67.6647,24.8936,251.82,77,75,1.03,FI,1707263555
81,port alfred,-33.5906,26.891,294.36,94,99,4.02,ZA,1707263556
82,nemuro,43.3236,145.575,266.14,66,62,2.08,JP,1707263556
83,st. paul,44.9444,-93.0933,284.03,68,0,5.66,US,1707263521
84,tiksi,71.6872,128.8694,245.83,99,97,2.94,RU,1707263556
85,udachny,66.4167,112.4,242.84,74,96,1.88,RU,1707263556
86,ushuaia,-54.8,-68.3,290.96,36,0,2.57,AR,1707263556
87,albany,42.6001,-73.9662,272.8,73,5,1.27,US,1707263557
88,mahina,-17.5065,-149.489,302.02,79,75,4.12,PF,1707263557
89,san antonio de pale,-1.4014,5.6325,301.05,74,56,0.48,GQ,1707263557
90,kruisfontein,-34.0033,24.7314,292.65,85,42,4.11,ZA,1707263557
91,piacabucu,-10.4056,-36.4344,300.05,83,96,4.34,BR,1707263557
92,st. john's,47.5649,-52.7093,274.08,94,100,13.41,CA,1707263361
93,klyuchi,52.2667,79.1667,264.65,81,84,5.89,RU,1707263557
94,chinde,26.8418,88.0763,279.45,70,0,2.03,NP,1707263558
95,stanley,54.868,-1.6985,275.77,76,0,3.6,GB,1707263265
96,nuevitas,21.5453,-77.2644,294.09,57,6,6.42,CU,1707263558
97,la'ie,21.6477,-157.9253,300.13,68,13,10.01,US,1707263558
98,jamestown,42.097,-79.2353,274.95,69,0,3.6,US,1707263468
99,leava,-14.3,-178.1667,300.82,81,84,3.55,WF,1707263558
100,tazovsky,67.4667,78.7,255.61,99,95,3.46,RU,1707263558
101,san miguel,13.4833,-88.1833,304.96,33,0,1.54,SV,1707263558
102,kiunga,-6.1219,141.2906,296.33,99,100,1.95,PG,1707263559
103,narasannapeta,18.4167,84.05,295.02,87,0,1.75,IN,1707263559
104,chonchi,-42.6128,-73.8092,290.71,95,92,4.14,CL,1707263559
105,hithadhoo,-0.6,73.0833,301.53,74,43,3.2,MV,1707263559
106,daru,-9.0763,143.2092,301.76,76,100,3.35,PG,1707263559
107,arzgir,45.3728,44.2206,274.41,98,100,4.16,RU,1707263564
108,lihue,21.9789,-159.3672,300.73,69,20,7.72,US,1707263564
109,maintirano,-18.0667,44.0167,300.58,81,100,3.17,MG,1707263564
110,mossel bay,-34.1831,22.146,294.11,83,88,1.2,ZA,1707263564
111,lebu,-37.6167,-73.65,291.25,91,74,1.25,CL,1707263564
112,touros,-5.1989,-35.4608,300.6,78,100,5.66,BR,1707263492
113,thal,35.4791,72.2439,264.77,65,99,3.7,PK,1707263564
114,sillamae,59.3997,27.7547,265.36,94,97,5.03,EE,1707263565
115,ust-nera,64.5667,143.2,239.3,92,91,0.28,RU,1707263565
116,qaqortoq,60.7167,-46.0333,257.69,63,1,4.41,GL,1707263565
117,sandnessjoen,66.0217,12.6316,258.44,85,49,6.04,NO,1707263565
118,argo,37.6333,22.7333,285.81,48,1,2.29,GR,1707263565
119,invercargill,-46.4,168.35,289.27,72,45,5.81,NZ,1707263565
120,olonkinbyen,70.9221,-8.7187,269.99,89,57,9.71,SJ,1707263565
121,jam sahib,26.2958,68.6292,290.68,44,99,3.74,PK,1707263565
122,wanning,18.8003,110.3967,296.19,88,89,2.53,CN,1707263566
123,enewetak,11.3474,162.3373,299.78,81,76,6.86,MH,1707263566
124,selfoss,63.9331,-20.9971,263.52,90,86,3.08,IS,1707263566
125,al kharijah,25.4514,30.5464,284.72,56,1,3.28,EG,1707263566
126,college,64.8569,-147.8028,263.26,76,40,2.06,US,1707263475
127,lakatoro,-16.0999,167.4164,302.38,71,92,1.77,VU,1707263566
128,kapuskasing,49.4169,-82.4331,276.2,100,100,4.12,CA,1707263566
